C.D.S.  -  SIMBAD4 rel 1.7  -  2021.07.09CEST12:11:53

coord 14 05 32.39 + 28 32 58.33 (ICRS, J2000, 2000.0), radius: 466.3949 arcsec
------------------------------------------------------------------------------

Number of objects : 380

 # |dist(asec)|            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
---|----------|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1  |      2.69|Gaia DR2 1452632229557055232       |*  |14 05 32.5863196359 +28 32 57.602393585|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
2  |     15.64|[SDS2012] NGC 5466 36              |UV |14 05 31.6 +28 33 10                   |     ~|     ~|     ~|     ~|     ~|~              |   1|   0
3  |     18.04|[SMW2010] 1106                     |*  |14 05 32.58 +28 33 16.2                |     ~|18.89 |18.40 |     ~|17.63 |~              |   1|   0
4  |     22.03|Cl* NGC 5466 NH 96                 |BS*|14 05 30.74 +28 32 54.8                |     ~|     ~|20.058|     ~|19.628|~              |   1|   0
5  |     22.51|Cl* NGC 5466 FSBRGB 24             |RG*|14 05 33.09 +28 32 37.8                |     ~|16.000|15.098|     ~|14.091|~              |   2|   0
6  |     22.55|Gaia DR2 1452632225261794560       |*  |14 05 34.0437582118 +28 33 04.134169863|     ~|     ~|     ~|     ~|     ~|~              |   1|   0
7  |     24.62|Cl* NGC 5466 NH 37                 |BS*|14 05 31.84 +28 32 34.8                |     ~|19.119|18.766|     ~|19.024|~              |   2|   0
8  |     25.14|Cl* NGC 5466 FSBHB 76              |HB*|14 05 30.50 +28 32 54.9                |     ~|16.795|16.777|     ~|16.770|~              |   1|   0
9  |     25.71|Cl* NGC 5466 FSBRGB 20             |RG*|14 05 31.03 +28 32 39.9                |     ~|15.882|14.939|     ~|13.903|~              |   2|   0
10 |     27.56|Cl* NGC 5466 FSBHB V18             |RR*|14 05 31.4298336923 +28 32 33.849397561|     ~|16.832|16.545|     ~|     ~|~              |   7|   0
11 |     28.50|[SMW2010] 1615                     |*  |14 05 31.86 +28 32 30.7                |     ~|18.53 |17.93 |     ~|17.12 |~              |   1|   0
12 |     29.32|Cl* NGC 5466 NH 13                 |BS*|14 05 33.40 +28 32 32.2                |     ~|19.048|18.766|     ~|18.499|~              |   2|   0
13 |     31.00|Cl* NGC 5466 FSBHB 63              |HB*|14 05 30.45 +28 32 40.8                |     ~|16.880|16.447|     ~|15.832|~              |   2|   0
14 |     32.54|Cl* NGC 5466 NH 97                 |BS*|14 05 31.02 +28 33 25.4                |     ~|     ~|20.061|     ~|19.612|~              |   1|   0
15 |     32.80|[SMW2010] 1361                     |*  |14 05 34.84 +28 32 52.5                |     ~|18.50 |17.83 |     ~|17.05 |~              |   1|   0
16 |     33.51|[SHM2017] J211.39367+28.54421      |RR*|14 05 34.4708686458 +28 32 39.062135780|     ~|17.16 |16.74 |     ~|16.20 |~              |   8|   0
17 |     33.68|Cl* NGC 5466 NH 34                 |BS*|14 05 30.52 +28 33 21.3                |     ~|19.217|19.055|     ~|18.847|~              |   2|   0
18 |     35.56|Cl* NGC 5466 NH 51                 |BS*|14 05 30.11 +28 32 39.3                |     ~|18.286|18.491|     ~|18.340|~              |   1|   0
19 |     37.32|Cl* NGC 5466 FSBRGB 15             |RG*|14 05 35.22 +28 32 56.7                |     ~|15.594|14.571|     ~|13.470|~              |   2|   0
20 |     37.97|Cl* NGC 5466 NH 63                 |BS*|14 05 30.63 +28 33 28.4                |     ~|     ~|19.810|     ~|19.364|~              |   1|   0
